Date,Adj Close
2014-07-31,19.99
2014-08-01,19.85
2014-08-04,20.01
2014-08-05,20.209999
2014-08-06,20.33
2014-08-07,20.42
2014-08-08,20.530001000000002
2014-08-11,20.5
2014-08-12,20.5
2014-08-13,20.530001000000002
2014-08-14,20.5
2014-08-15,20.51
2014-08-18,20.66
2014-08-19,20.629998999999998
2014-08-20,20.58
2014-08-21,20.719998999999998
2014-08-22,20.85
2014-08-25,21.200001
2014-08-26,21.32
2014-08-27,21.27
2014-08-28,21.5
2014-08-29,21.5
2014-09-02,21.700001
2014-09-03,21.68
2014-09-04,21.5
2014-09-05,22.4
2014-09-08,22.5
2014-09-09,22.48
2014-09-10,22.99
2014-09-11,23.25
2014-09-12,23.49
2014-09-15,24.84
2014-09-16,24.219998999999998
2014-09-17,24.309998999999998
2014-09-18,24.190001000000002
2014-09-19,23.68
2014-09-22,23.99
2014-09-23,23.969998999999998
2014-09-24,24.84
2014-09-25,24.68
2014-09-26,25.040001
2014-09-29,25.17
2014-09-30,25.030001000000002
2014-10-01,23.85
2014-10-02,25.35
2014-10-03,25.129998999999998
2014-10-06,24.98
2014-10-07,24.73
2014-10-08,25.48
2014-10-09,24.42
2014-10-10,23.67
2014-10-13,23.52
2014-10-14,23.73
2014-10-15,24.219998999999998
2014-10-16,24.25
2014-10-17,23.629998999999998
2014-10-20,23.959999
2014-10-21,25.190001000000002
2014-10-22,24.07
2014-10-23,24.26
2014-10-24,24.940001000000002
2014-10-27,24.459999
2014-10-28,25.200001
2014-10-29,25.549999
2014-10-30,25.639999
2014-10-31,26.030001000000002
2014-11-03,25.9
2014-11-04,25.35
2014-11-05,25.09
2014-11-06,24.74
2014-11-07,24.73
2014-11-10,24.77
2014-11-11,24.209999
2014-11-12,23.719998999999998
2014-11-13,23.809998999999998
2014-11-14,24.049999
2014-11-17,25.639999
2014-11-18,25.43
2014-11-19,25.700001
2014-11-20,26.059998999999998
2014-11-21,26.549999
2014-11-24,26.969998999999998
2014-11-25,27.85
2014-11-26,28.719998999999998
2014-11-28,28.790001
2014-12-01,28.299999
2014-12-02,28.43
2014-12-03,28.51
2014-12-04,28.93
2014-12-05,29.16
2014-12-08,28.91
2014-12-09,29.129998999999998
2014-12-10,29.42
2014-12-11,29.02
2014-12-12,28.58
2014-12-15,28.940001000000002
2014-12-16,28.57
2014-12-17,29.18
2014-12-18,28.690001000000002
2014-12-19,29.190001000000002
2014-12-22,28.629998999999998
2014-12-23,27.15
2014-12-24,27.379998999999998
2014-12-26,28.49
2014-12-29,27.940001000000002
2014-12-30,28.059998999999998
2014-12-31,27.879998999999998
2015-01-02,27.51
2015-01-05,28.08
2015-01-06,26.549999
2015-01-07,27.809998999999998
2015-01-08,27.99
2015-01-09,27.57
2015-01-12,27.67
2015-01-13,28.129998999999998
2015-01-14,27.969998999999998
2015-01-15,27.4
2015-01-16,28.07
2015-01-20,27.99
2015-01-21,27.530001000000002
2015-01-22,27.91
2015-01-23,27.200001
2015-01-26,28.33
2015-01-27,28.200001
2015-01-28,27.74
2015-01-29,27.719998999999998
2015-01-30,27.620001000000002
2015-02-02,27.639999
2015-02-03,27.780001000000002
2015-02-04,27.549999
2015-02-05,27.49
2015-02-06,27.440001000000002
2015-02-09,27.549999
2015-02-10,27.879998999999998
2015-02-11,29.32
2015-02-12,28.58
