Date,Adj Close
2010-12-15,27.25
2010-12-16,27.35
2010-12-17,28.07
2010-12-20,28.530001000000002
2010-12-21,29.75
2010-12-22,29.08
2010-12-23,30.809998999999998
2010-12-27,30.99
2010-12-28,31.059998999999998
2010-12-29,31.0
2010-12-30,30.799999
2010-12-31,30.92
2011-01-03,30.469998999999998
2011-01-04,29.98
2011-01-05,30.4
2011-01-06,30.030001000000002
2011-01-07,29.99
2011-01-10,30.0
2011-01-11,31.139999
2011-01-12,30.940001000000002
2011-01-13,30.200001
2011-01-14,30.25
2011-01-18,30.23
2011-01-19,30.190001000000002
2011-01-20,30.049999
2011-01-21,30.5
2011-01-24,31.57
2011-01-25,31.049999
2011-01-26,31.299999
2011-01-27,30.200001
2011-01-28,29.98
2011-01-31,30.0
2011-02-01,30.040001
2011-02-02,30.0
2011-02-03,30.0
2011-02-04,29.99
2011-02-07,30.51
2011-02-08,31.16
2011-02-09,31.280001000000002
2011-02-10,31.27
2011-02-11,31.51
2011-02-14,31.0
2011-02-15,31.0
2011-02-16,31.48
2011-02-17,32.5
2011-02-18,33.509997999999996
2011-02-22,31.959999
2011-02-23,32.0
2011-02-24,32.490002000000004
2011-02-25,32.060001
2011-02-28,31.99
2011-03-01,30.700001
2011-03-02,30.07
2011-03-03,30.700001
2011-03-04,30.75
2011-03-07,30.360001
2011-03-08,30.440001000000002
2011-03-09,30.17
2011-03-10,30.25
2011-03-11,30.51
2011-03-14,31.33
2011-03-15,31.549999
2011-03-16,31.43
2011-03-17,31.35
2011-03-18,31.58
2011-03-21,33.150002
2011-03-22,32.73
2011-03-23,33.310001
2011-03-24,33.169998
2011-03-25,33.09
2011-03-28,34.400002
2011-03-29,32.700001
2011-03-30,32.470001
2011-03-31,32.66
2011-04-01,34.080002
2011-04-04,34.0
2011-04-05,33.82
2011-04-06,32.790001000000004
2011-04-07,33.330002
2011-04-08,33.09
2011-04-11,33.369999
2011-04-12,33.290001000000004
2011-04-13,33.490002000000004
2011-04-14,33.669998
2011-04-15,34.259997999999996
2011-04-18,33.759997999999996
2011-04-19,34.220001
2011-04-20,34.82
2011-04-21,34.639998999999996
2011-04-25,34.290001000000004
2011-04-26,34.630001
2011-04-27,34.810001
2011-04-28,36.790001000000004
2011-04-29,37.509997999999996
2011-05-02,36.130001
2011-05-03,34.119999
2011-05-04,34.09
2011-05-05,34.720001
2011-05-06,33.18
2011-05-09,33.119999
2011-05-10,33.779999
2011-05-11,33.389998999999996
2011-05-12,33.610001000000004
2011-05-13,35.380001
2011-05-16,35.150002
2011-05-17,34.07
2011-05-18,35.0
2011-05-19,36.0
2011-05-20,35.5
2011-05-23,34.869999
2011-05-24,34.34
2011-05-25,33.720001
2011-05-26,33.689999
2011-05-27,33.369999
2011-05-31,33.740002000000004
2011-06-01,33.0
2011-06-02,32.91
2011-06-03,31.790001
2011-06-06,31.08
2011-06-07,30.620001000000002
2011-06-08,30.0
2011-06-09,30.040001
2011-06-10,29.16
2011-06-13,30.01
2011-06-14,30.16
2011-06-15,30.09
2011-06-16,30.07
2011-06-17,30.23
2011-06-20,30.0
2011-06-21,30.35
2011-06-22,30.1
2011-06-23,30.16
2011-06-24,30.040001
2011-06-27,29.93
2011-06-28,29.870001000000002
2011-06-29,29.530001000000002
2011-06-30,29.639999
2011-07-01,29.700001
2011-07-05,29.530001000000002
2011-07-06,30.1
2011-07-07,29.700001
2011-07-08,29.799999
2011-07-11,29.98
2011-07-12,30.0
2011-07-13,30.15
2011-07-14,29.91
2011-07-15,29.620001000000002
2011-07-18,29.51
2011-07-19,29.719998999999998
2011-07-20,29.549999
2011-07-21,29.51
2011-07-22,29.389999
2011-07-25,29.16
